2048
3/5 4/5
2449/3601 2640/3601
-2449/3601 -2640/3601
2349/3701 -2860/3701
-2349/3701 2860/3701
2241/3809 3080/3809
-2241/3809 -3080/3809
2001/4049 -3520/4049
-2001/4049 3520/4049
1869/4181 3740/4181
-1869/4181 -3740/4181
1729/4321 -3960/4321
-1729/4321 3960/4321
1581/4469 4180/4469
-1581/4469 -4180/4469
1261/4789 -4620/4789
-1261/4789 4620/4789
909/5141 5060/5141
-909/5141 -5060/5141
721/5329 -5280/5329
-721/5329 5280/5329
321/5729 5720/5729
-321/5729 -5720/5729
109/5941 -5940/5941
-109/5941 5940/5941
3135/3137 112/3137
-3135/3137 -112/3137
3127/3145 -336/3145
-3127/3145 336/3145
3111/3161 560/3161
-3111/3161 -560/3161
3055/3217 -1008/3217
-3055/3217 1008/3217
3015/3257 1232/3257
-3015/3257 -1232/3257
2967/3305 -1456/3305
-2967/3305 1456/3305
2911/3361 1680/3361
-2911/3361 -1680/3361
2847/3425 -1904/3425
-2847/3425 1904/3425
2775/3497 2128/3497
-2775/3497 -2128/3497
2607/3665 -2576/3665
-2607/3665 2576/3665
2511/3761 2800/3761
-2511/3761 -2800/3761
2407/3865 -3024/3865
-2407/3865 3024/3865
2295/3977 3248/3977
-2295/3977 -3248/3977
2175/4097 -3472/4097
-2175/4097 3472/4097
2047/4225 3696/4225
-2047/4225 -3696/4225
1767/4505 -4144/4505
-1767/4505 4144/4505
1615/4657 4368/4657
-1615/4657 -4368/4657
1455/4817 -4592/4817
-1455/4817 4592/4817
1287/4985 4816/4985
-1287/4985 -4816/4985
1111/5161 -5040/5161
-1111/5161 5040/5161
927/5345 5264/5345
-927/5345 -5264/5345
535/5737 -5712/5737
-535/5737 5712/5737
327/5945 5936/5945
-327/5945 -5936/5945
111/6161 -6160/6161
-111/6161 6160/6161
3245/3253 228/3253
-3245/3253 -228/3253
3233/3265 -456/3265
-3233/3265 456/3265
3185/3313 912/3313
-3185/3313 -912/3313
3149/3349 -1140/3349
-3149/3349 1140/3349
3053/3445 1596/3445
-3053/3445 -1596/3445
2993/3505 -1824/3505
-2993/3505 1824/3505
2849/3649 2280/3649
-2849/3649 -2280/3649
2765/3733 -2508/3733
-2765/3733 2508/3733
2573/3925 2964/3925
-2573/3925 -2964/3925
2465/4033 -3192/4033
-2465/4033 3192/4033
2225/4273 3648/4273
-2225/4273 -3648/4273
2093/4405 -3876/4405
-2093/4405 3876/4405
1649/4849 4560/4849
-1649/4849 -4560/4849
1313/5185 -5016/5185
-1313/5185 5016/5185
1133/5365 5244/5365
-1133/5365 -5244/5365
749/5749 -5700/5749
-749/5749 5700/5749
545/5953 5928/5953
-545/5953 -5928/5953
113/6385 -6384/6385
-113/6385 6384/6385
3363/3365 116/3365
-3363/3365 -116/3365
3355/3373 -348/3373
-3355/3373 348/3373
3339/3389 580/3389
-3339/3389 -580/3389
3315/3413 -812/3413
-3315/3413 812/3413
3283/3445 1044/3445
-3283/3445 -1044/3445
3243/3485 -1276/3485
-3243/3485 1276/3485
3195/3533 1508/3533
-3195/3533 -1508/3533
3139/3589 -1740/3589
-3139/3589 1740/3589
3075/3653 1972/3653
-3075/3653 -1972/3653
3003/3725 -2204/3725
-3003/3725 2204/3725
2923/3805 2436/3805
-2923/3805 -2436/3805
2835/3893 -2668/3893
-2835/3893 2668/3893
2739/3989 2900/3989
-2739/3989 -2900/3989
2635/4093 -3132/4093
-2635/4093 3132/4093
2403/4325 3596/4325
-2403/4325 -3596/4325
2275/4453 -3828/4453
-2275/4453 3828/4453
2139/4589 4060/4589
-2139/4589 -4060/4589
1995/4733 -4292/4733
-1995/4733 4292/4733
1843/4885 4524/4885
-1843/4885 -4524/4885
1683/5045 -4756/5045
-1683/5045 4756/5045
1515/5213 4988/5213
-1515/5213 -4988/5213
1339/5389 -5220/5389
-1339/5389 5220/5389
1155/5573 5452/5573
-1155/5573 -5452/5573
963/5765 -5684/5765
-963/5765 5684/5765
763/5965 5916/5965
-763/5965 -5916/5965
555/6173 -6148/6173
-555/6173 6148/6173
339/6389 6380/6389
-339/6389 -6380/6389
115/6613 -6612/6613
-115/6613 6612/6613
3477/3485 236/3485
-3477/3485 -236/3485
3465/3497 -472/3497
-3465/3497 472/3497
3445/3517 708/3517
-3445/3517 -708/3517
3417/3545 -944/3545
-3417/3545 944/3545
3381/3581 1180/3581
-3381/3581 -1180/3581
3337/3625 -1416/3625
-3337/3625 1416/3625
3285/3677 1652/3677
-3285/3677 -1652/3677
3225/3737 -1888/3737
-3225/3737 1888/3737
3157/3805 2124/3805
-3157/3805 -2124/3805
3081/3881 -2360/3881
-3081/3881 2360/3881
2997/3965 2596/3965
-2997/3965 -2596/3965
2905/4057 -2832/4057
-2905/4057 2832/4057
2805/4157 3068/4157
-2805/4157 -3068/4157
2697/4265 -3304/4265
-2697/4265 3304/4265
2581/4381 3540/4381
-2581/4381 -3540/4381
2457/4505 -3776/4505
-2457/4505 3776/4505
2325/4637 4012/4637
-2325/4637 -4012/4637
2185/4777 -4248/4777
-2185/4777 4248/4777
2037/4925 4484/4925
-2037/4925 -4484/4925
1881/5081 -4720/5081
-1881/5081 4720/5081
1717/5245 4956/5245
-1717/5245 -4956/5245
1545/5417 -5192/5417
-1545/5417 5192/5417
1365/5597 5428/5597
-1365/5597 -5428/5597
1177/5785 -5664/5785
-1177/5785 5664/5785
981/5981 5900/5981
-981/5981 -5900/5981
777/6185 -6136/6185
-777/6185 6136/6185
565/6397 6372/6397
-565/6397 -6372/6397
345/6617 -6608/6617
-345/6617 6608/6617
117/6845 6844/6845
-117/6845 -6844/6845
3599/3601 -120/3601
-3599/3601 120/3601
3551/3649 840/3649
-3551/3649 -840/3649
3479/3721 -1320/3721
-3479/3721 1320/3721
3431/3769 1560/3769
-3431/3769 -1560/3769
3311/3889 -2040/3889
-3311/3889 2040/3889
3239/3961 2280/3961
-3239/3961 -2280/3961
3071/4129 -2760/4129
-3071/4129 2760/4129
2759/4441 3480/4441
-2759/4441 -3480/4441
2639/4561 -3720/4561
-2639/4561 3720/4561
2231/4969 4440/4969
-2231/4969 -4440/4969
1919/5281 -4920/5281
-1919/5281 4920/5281
1751/5449 5160/5449
-1751/5449 -5160/5449
1391/5809 -5640/5809
-1391/5809 5640/5809
1199/6001 5880/6001
-1199/6001 -5880/6001
791/6409 -6360/6409
-791/6409 6360/6409
119/7081 7080/7081
-119/7081 -7080/7081
3717/3725 -244/3725
-3717/3725 244/3725
3705/3737 488/3737
-3705/3737 -488/3737
3685/3757 -732/3757
-3685/3757 732/3757
3657/3785 976/3785
-3657/3785 -976/3785
3621/3821 -1220/3821
-3621/3821 1220/3821
3577/3865 1464/3865
-3577/3865 -1464/3865
3525/3917 -1708/3917
-3525/3917 1708/3917
3465/3977 1952/3977
-3465/3977 -1952/3977
3397/4045 -2196/4045
-3397/4045 2196/4045
3321/4121 2440/4121
-3321/4121 -2440/4121
3237/4205 -2684/4205
-3237/4205 2684/4205
3145/4297 2928/4297
-3145/4297 -2928/4297
3045/4397 -3172/4397
-3045/4397 3172/4397
2937/4505 3416/4505
-2937/4505 -3416/4505
2821/4621 -3660/4621
-2821/4621 3660/4621
2697/4745 3904/4745
-2697/4745 -3904/4745
2565/4877 -4148/4877
-2565/4877 4148/4877
2425/5017 4392/5017
-2425/5017 -4392/5017
2277/5165 -4636/5165
-2277/5165 4636/5165
2121/5321 4880/5321
-2121/5321 -4880/5321
1957/5485 -5124/5485
-1957/5485 5124/5485
1785/5657 5368/5657
-1785/5657 -5368/5657
1605/5837 -5612/5837
-1605/5837 5612/5837
1417/6025 5856/6025
-1417/6025 -5856/6025
1221/6221 -6100/6221
-1221/6221 6100/6221
1017/6425 6344/6425
-1017/6425 -6344/6425
805/6637 -6588/6637
-805/6637 6588/6637
585/6857 6832/6857
-585/6857 -6832/6857
357/7085 -7076/7085
-357/7085 7076/7085
121/7321 7320/7321
-121/7321 -7320/7321
3843/3845 -124/3845
-3843/3845 124/3845
3835/3853 372/3853
-3835/3853 -372/3853
3819/3869 -620/3869
-3819/3869 620/3869
3795/3893 868/3893
-3795/3893 -868/3893
3763/3925 -1116/3925
-3763/3925 1116/3925
3723/3965 1364/3965
-3723/3965 -1364/3965
3675/4013 -1612/4013
-3675/4013 1612/4013
3619/4069 1860/4069
-3619/4069 -1860/4069
3555/4133 -2108/4133
-3555/4133 2108/4133
3483/4205 2356/4205
-3483/4205 -2356/4205
3403/4285 -2604/4285
-3403/4285 2604/4285
3315/4373 2852/4373
-3315/4373 -2852/4373
3219/4469 -3100/4469
-3219/4469 3100/4469
3115/4573 3348/4573
-3115/4573 -3348/4573
3003/4685 -3596/4685
-3003/4685 3596/4685
2755/4933 4092/4933
-2755/4933 -4092/4933
2619/5069 -4340/5069
-2619/5069 4340/5069
2475/5213 4588/5213
-2475/5213 -4588/5213
2323/5365 -4836/5365
-2323/5365 4836/5365
2163/5525 5084/5525
-2163/5525 -5084/5525
1995/5693 -5332/5693
-1995/5693 5332/5693
1819/5869 5580/5869
-1819/5869 -5580/5869
1635/6053 -5828/6053
-1635/6053 5828/6053
1443/6245 6076/6245
-1443/6245 -6076/6245
1243/6445 -6324/6445
-1243/6445 6324/6445
1035/6653 6572/6653
-1035/6653 -6572/6653
819/6869 -6820/6869
-819/6869 6820/6869
595/7093 7068/7093
-595/7093 -7068/7093
363/7325 -7316/7325
-363/7325 7316/7325
123/7565 7564/7565
-123/7565 -7564/7565
3965/3973 -252/3973
-3965/3973 252/3973
3953/3985 504/3985
-3953/3985 -504/3985
3905/4033 -1008/4033
-3905/4033 1008/4033
3869/4069 1260/4069
-3869/4069 -1260/4069
3713/4225 -2016/4225
-3713/4225 2016/4225
3569/4369 2520/4369
-3569/4369 -2520/4369
3485/4453 -2772/4453
-3485/4453 2772/4453
3293/4645 3276/4645
-3293/4645 -3276/4645
2945/4993 -4032/4993
-2945/4993 4032/4993
2813/5125 4284/5125
-2813/5125 -4284/5125
2525/5413 -4788/5413
-2525/5413 4788/5413
2369/5569 5040/5569
-2369/5569 -5040/5569
2033/5905 -5544/5905
-2033/5905 5544/5905
1853/6085 5796/6085
-1853/6085 -5796/6085
1469/6469 -6300/6469
-1469/6469 6300/6469
1265/6673 6552/6673
-1265/6673 -6552/6673
605/7333 -7308/7333
-605/7333 7308/7333
125/7813 7812/7813
-125/7813 -7812/7813
4095/4097 -128/4097
-4095/4097 128/4097
4087/4105 384/4105
-4087/4105 -384/4105
4071/4121 -640/4121
-4071/4121 640/4121
4047/4145 896/4145
-4047/4145 -896/4145
4015/4177 -1152/4177
-4015/4177 1152/4177
3975/4217 1408/4217
-3975/4217 -1408/4217
3927/4265 -1664/4265
-3927/4265 1664/4265
3871/4321 1920/4321
-3871/4321 -1920/4321
3807/4385 -2176/4385
-3807/4385 2176/4385
3735/4457 2432/4457
-3735/4457 -2432/4457
3655/4537 -2688/4537
-3655/4537 2688/4537
3567/4625 2944/4625
-3567/4625 -2944/4625
3471/4721 -3200/4721
-3471/4721 3200/4721
3367/4825 3456/4825
-3367/4825 -3456/4825
3255/4937 -3712/4937
-3255/4937 3712/4937
3135/5057 3968/5057
-3135/5057 -3968/5057
3007/5185 -4224/5185
-3007/5185 4224/5185
2871/5321 4480/5321
-2871/5321 -4480/5321
2727/5465 -4736/5465
-2727/5465 4736/5465
2575/5617 4992/5617
-2575/5617 -4992/5617
2415/5777 -5248/5777
-2415/5777 5248/5777
2247/5945 5504/5945
-2247/5945 -5504/5945
2071/6121 -5760/6121
-2071/6121 5760/6121
1887/6305 6016/6305
-1887/6305 -6016/6305
1695/6497 -6272/6497
-1695/6497 6272/6497
1495/6697 6528/6697
-1495/6697 -6528/6697
1287/6905 -6784/6905
-1287/6905 6784/6905
1071/7121 7040/7121
-1071/7121 -7040/7121
847/7345 -7296/7345
-847/7345 7296/7345
615/7577 7552/7577
-615/7577 -7552/7577
375/7817 -7808/7817
-375/7817 7808/7817
127/8065 8064/8065
-127/8065 -8064/8065
4221/4229 -260/4229
-4221/4229 260/4229
4209/4241 520/4241
-4209/4241 -520/4241
4189/4261 -780/4261
-4189/4261 780/4261
4161/4289 1040/4289
-4161/4289 -1040/4289
4081/4369 -1560/4369
-4081/4369 1560/4369
4029/4421 1820/4421
-4029/4421 -1820/4421
3969/4481 -2080/4481
-3969/4481 2080/4481
3901/4549 2340/4549
-3901/4549 -2340/4549
3741/4709 -2860/4709
-3741/4709 2860/4709
3649/4801 3120/4801
-3649/4801 -3120/4801
3441/5009 -3640/5009
-3441/5009 3640/5009
3201/5249 4160/5249
-3201/5249 -4160/5249
3069/5381 -4420/5381
-3069/5381 4420/5381
2929/5521 4680/5521
-2929/5521 -4680/5521
2781/5669 -4940/5669
-2781/5669 4940/5669
2461/5989 5460/5989
-2461/5989 -5460/5989
2289/6161 -5720/6161
-2289/6161 5720/6161
2109/6341 5980/6341
-2109/6341 -5980/6341
1921/6529 -6240/6529
-1921/6529 6240/6529
1309/7141 7020/7141
-1309/7141 -7020/7141
1089/7361 -7280/7361
-1089/7361 7280/7361
861/7589 7540/7589
-861/7589 -7540/7589
381/8069 -8060/8069
-381/8069 8060/8069
129/8321 8320/8321
-129/8321 -8320/8321
4355/4357 -132/4357
-4355/4357 132/4357
4331/4381 660/4381
-4331/4381 -660/4381
4307/4405 -924/4405
-4307/4405 924/4405
4187/4525 1716/4525
-4187/4525 -1716/4525
4067/4645 -2244/4645
-4067/4645 2244/4645
3995/4717 2508/4717
-3995/4717 -2508/4717
3827/4885 -3036/4885
-3827/4885 3036/4885
3731/4981 3300/4981
-3731/4981 -3300/4981
3515/5197 -3828/5197
-3515/5197 3828/5197
3395/5317 4092/5317
-3395/5317 -4092/5317
3131/5581 -4620/5581
-3131/5581 4620/5581
2987/5725 4884/5725
-2987/5725 -4884/5725
2675/6037 -5412/6037
-2675/6037 5412/6037
2507/6205 5676/6205
-2507/6205 -5676/6205
2147/6565 -6204/6565
-2147/6565 6204/6565
1955/6757 6468/6757
-1955/6757 -6468/6757
1547/7165 -6996/7165
-1547/7165 6996/7165
875/7837 7788/7837
-875/7837 -7788/7837
635/8077 -8052/8077
-635/8077 8052/8077
131/8581 8580/8581
-131/8581 -8580/8581
4485/4493 -268/4493
-4485/4493 268/4493
4473/4505 536/4505
-4473/4505 -536/4505
4453/4525 -804/4525
-4453/4525 804/4525
4425/4553 1072/4553
-4425/4553 -1072/4553
4389/4589 -1340/4589
-4389/4589 1340/4589
4345/4633 1608/4633
-4345/4633 -1608/4633
4293/4685 -1876/4685
-4293/4685 1876/4685
4233/4745 2144/4745
-4233/4745 -2144/4745
4165/4813 -2412/4813
-4165/4813 2412/4813
4089/4889 2680/4889
-4089/4889 -2680/4889
4005/4973 -2948/4973
-4005/4973 2948/4973
3913/5065 3216/5065
-3913/5065 -3216/5065
3813/5165 -3484/5165
-3813/5165 3484/5165
3705/5273 3752/5273
-3705/5273 -3752/5273
3589/5389 -4020/5389
-3589/5389 4020/5389
3465/5513 4288/5513
-3465/5513 -4288/5513
3333/5645 -4556/5645
-3333/5645 4556/5645
3193/5785 4824/5785
-3193/5785 -4824/5785
3045/5933 -5092/5933
-3045/5933 5092/5933
2889/6089 5360/6089
-2889/6089 -5360/6089
2725/6253 -5628/6253
-2725/6253 5628/6253
2553/6425 5896/6425
-2553/6425 -5896/6425
2373/6605 -6164/6605
-2373/6605 6164/6605
2185/6793 6432/6793
-2185/6793 -6432/6793
1989/6989 -6700/6989
-1989/6989 6700/6989
1785/7193 6968/7193
-1785/7193 -6968/7193
1573/7405 -7236/7405
-1573/7405 7236/7405
1353/7625 7504/7625
-1353/7625 -7504/7625
1125/7853 -7772/7853
-1125/7853 7772/7853
889/8089 8040/8089
-889/8089 -8040/8089
645/8333 -8308/8333
-645/8333 8308/8333
393/8585 8576/8585
-393/8585 -8576/8585
133/8845 -8844/8845
-133/8845 8844/8845
4623/4625 136/4625
-4623/4625 -136/4625
4615/4633 -408/4633
-4615/4633 408/4633
4599/4649 680/4649
-4599/4649 -680/4649
4575/4673 -952/4673
-4575/4673 952/4673
4543/4705 1224/4705
-4543/4705 -1224/4705
4503/4745 -1496/4745
-4503/4745 1496/4745
4455/4793 1768/4793
-4455/4793 -1768/4793
4399/4849 -2040/4849
-4399/4849 2040/4849
4263/4985 2584/4985
-4263/4985 -2584/4985
4183/5065 -2856/5065
-4183/5065 2856/5065
4095/5153 3128/5153
-4095/5153 -3128/5153
3999/5249 -3400/5249
-3999/5249 3400/5249
3895/5353 3672/5353
-3895/5353 -3672/5353
3783/5465 -3944/5465
-3783/5465 3944/5465
3663/5585 4216/5585
-3663/5585 -4216/5585
3535/5713 -4488/5713
-3535/5713 4488/5713
3399/5849 4760/5849
-3399/5849 -4760/5849
3255/5993 -5032/5993
-3255/5993 5032/5993
3103/6145 5304/6145
-3103/6145 -5304/6145
2943/6305 -5576/6305
-2943/6305 5576/6305
2775/6473 5848/6473
-2775/6473 -5848/6473
2599/6649 -6120/6649
-2599/6649 6120/6649
2415/6833 6392/6833
-2415/6833 -6392/6833
2223/7025 -6664/7025
-2223/7025 6664/7025
1815/7433 7208/7433
-1815/7433 -7208/7433
1599/7649 -7480/7649
-1599/7649 7480/7649
1375/7873 7752/7873
-1375/7873 -7752/7873
1143/8105 -8024/8105
-1143/8105 8024/8105
903/8345 8296/8345
-903/8345 -8296/8345
655/8593 -8568/8593
-655/8593 8568/8593
399/8849 8840/8849
-399/8849 -8840/8849
135/9113 -9112/9113
-135/9113 9112/9113
4757/4765 276/4765
-4757/4765 -276/4765
4745/4777 -552/4777
-4745/4777 552/4777
4697/4825 1104/4825
-4697/4825 -1104/4825
4661/4861 -1380/4861
-4661/4861 1380/4861
4565/4957 1932/4957
-4565/4957 -1932/4957
4505/5017 -2208/5017
-4505/5017 2208/5017
4361/5161 2760/5161
-4361/5161 -2760/5161
4277/5245 -3036/5245
-4277/5245 3036/5245
4085/5437 3588/5437
-4085/5437 -3588/5437
3977/5545 -3864/5545
-3977/5545 3864/5545
3737/5785 4416/5785
-3737/5785 -4416/5785
3605/5917 -4692/5917
-3605/5917 4692/5917
3317/6205 5244/6205
-3317/6205 -5244/6205
3161/6361 -5520/6361
-3161/6361 5520/6361
2825/6697 6072/6697
-2825/6697 -6072/6697
2261/7261 -6900/7261
-2261/7261 6900/7261
2057/7465 7176/7465
-2057/7465 -7176/7465
1625/7897 -7728/7897
-1625/7897 7728/7897
1397/8125 8004/8125
-1397/8125 -8004/8125
917/8605 -8556/8605
-917/8605 8556/8605
665/8857 8832/8857
-665/8857 -8832/8857
137/9385 -9384/9385
-137/9385 9384/9385
4899/4901 140/4901
-4899/4901 -140/4901
4891/4909 -420/4909
-4891/4909 420/4909
4819/4981 1260/4981
-4819/4981 -1260/4981
4779/5021 -1540/5021
-4779/5021 1540/5021
4731/5069 1820/5069
-4731/5069 -1820/5069
4611/5189 -2380/5189
-4611/5189 2380/5189
4539/5261 2660/5261
-4539/5261 -2660/5261
4371/5429 -3220/5429
-4371/5429 3220/5429
4171/5629 3780/5629
-4171/5629 -3780/5629
4059/5741 -4060/5741
-4059/5741 4060/5741
3939/5861 4340/5861
-3939/5861 -4340/5861
3811/5989 -4620/5989
-3811/5989 4620/5989
3531/6269 5180/6269
-3531/6269 -5180/6269
3379/6421 -5460/6421
-3379/6421 5460/6421
3219/6581 5740/6581
-3219/6581 -5740/6581
3051/6749 -6020/6749
-3051/6749 6020/6749
2691/7109 6580/7109
-2691/7109 -6580/7109
2299/7501 -7140/7501
-2299/7501 7140/7501
2091/7709 7420/7709
-2091/7709 -7420/7709
1651/8149 -7980/8149
-1651/8149 7980/8149
1419/8381 8260/8381
-1419/8381 -8260/8381
1179/8621 -8540/8621
-1179/8621 8540/8621
411/9389 9380/9389
-411/9389 -9380/9389
139/9661 -9660/9661
-139/9661 9660/9661
5037/5045 284/5045
-5037/5045 -284/5045
5025/5057 -568/5057
-5025/5057 568/5057
5005/5077 852/5077
-5005/5077 -852/5077
4977/5105 -1136/5105
-4977/5105 1136/5105
4941/5141 1420/5141
-4941/5141 -1420/5141
4897/5185 -1704/5185
-4897/5185 1704/5185
4845/5237 1988/5237
-4845/5237 -1988/5237
4785/5297 -2272/5297
-4785/5297 2272/5297
4717/5365 2556/5365
-4717/5365 -2556/5365
4641/5441 -2840/5441
-4641/5441 2840/5441
4557/5525 3124/5525
-4557/5525 -3124/5525
4465/5617 -3408/5617
-4465/5617 3408/5617
4365/5717 3692/5717
-4365/5717 -3692/5717
4257/5825 -3976/5825
-4257/5825 3976/5825
4141/5941 4260/5941
-4141/5941 -4260/5941
4017/6065 -4544/6065
-4017/6065 4544/6065
3885/6197 4828/6197
-3885/6197 -4828/6197
3745/6337 -5112/6337
-3745/6337 5112/6337
3597/6485 5396/6485
-3597/6485 -5396/6485
3441/6641 -5680/6641
-3441/6641 5680/6641
3277/6805 5964/6805
-3277/6805 -5964/6805
3105/6977 -6248/6977
-3105/6977 6248/6977
